loan_id,customer_id,loan_category,loan_amount,interest_rate,tenure_months,start_date,status,loan_outlier
LOAN000071,CUST00150,Education Loan,3790583.89,15.71,84,2025-02-23,Active,False
LOAN000072,CUST00095,Business Loan,2880955.73,13.3,84,2021-11-01,Active,False
LOAN000073,CUST00083,Education Loan,391005.46,7.83,48,2020-10-07,Active,False
LOAN000074,CUST00152,Personal Loan,1497129.84,16.09,12,2021-07-07,Closed,False
LOAN000075,CUST00082,Car Loan,2117806.37,18.28,12,2023-11-19,Active,False
LOAN000076,CUST00070,Personal Loan,4533792.43,18.45,84,2023-12-08,Active,False
LOAN000077,CUST00147,Home Loan,3762488.23,6.88,12,2020-11-04,Active,False
LOAN000078,CUST00097,Education Loan,145100.19,14.84,60,2021-08-08,Active,False
LOAN000079,CUST00067,Education Loan,1711392.82,10.61,84,2020-10-13,Active,False
LOAN000080,CUST00030,Education Loan,2784294.11,7.52,84,2021-01-14,Closed,False
LOAN000081,CUST00206,Car Loan,163886.92,10.98,36,2021-10-16,Closed,False
LOAN000082,CUST00150,Home Loan,1222879.38,10.59,24,2022-10-12,Closed,False
LOAN000083,CUST00181,Personal Loan,3149325.57,7.77,24,2021-05-18,Active,False
LOAN000084,CUST00203,Car Loan,736638.96,17.92,12,2022-12-11,Active,False
LOAN000085,CUST00182,Education Loan,3443724.94,12.85,180,2021-11-18,Closed,False
LOAN000086,CUST00048,Personal Loan,4940251.42,13.6,12,2020-10-12,Active,False
LOAN000087,CUST00032,Personal Loan,2562542.75,13.0,48,2020-09-30,Active,False
LOAN000088,CUST00215,Personal Loan,3529197.07,9.23,120,2021-07-28,Active,False
LOAN000089,CUST00062,Personal Loan,2981925.61,9.51,84,2025-04-13,Active,False
LOAN000090,CUST00127,Personal Loan,2676226.68,8.44,12,2023-07-19,Active,False
LOAN000091,CUST00191,Education Loan,1753905.1,15.67,180,2021-05-22,Active,False
LOAN000092,CUST00068,Personal Loan,3388780.55,13.77,24,2022-05-22,Closed,False
LOAN000093,CUST00140,Business Loan,3649387.19,10.1,180,2021-11-07,Defaulted,False
LOAN000094,CUST00204,Home Loan,4995532.27,11.42,180,2024-10-02,Defaulted,False
LOAN000095,CUST00007,Education Loan,4240083.95,8.2,120,2025-06-15,Active,False
LOAN000096,CUST00152,Car Loan,4373140.71,6.67,36,2024-06-12,Closed,False
LOAN000097,CUST00101,Business Loan,4732912.52,10.55,12,2022-01-20,Active,False
LOAN000098,CUST00112,Personal Loan,833665.88,12.34,180,2023-04-14,Active,False
LOAN000099,CUST00123,Home Loan,4739287.91,7.77,84,2023-06-28,Active,False
LOAN000100,CUST00162,Business Loan,3058697.38,11.5,12,2024-09-27,Defaulted,False
LOAN000101,CUST00088,Education Loan,835081.86,13.69,240,2021-12-25,Defaulted,False
LOAN000102,CUST00095,Personal Loan,3637545.91,12.18,12,2022-09-28,Active,False
LOAN000103,CUST00143,Car Loan,2114152.86,17.33,180,2021-02-21,Defaulted,False
LOAN000104,CUST00152,Car Loan,1736748.82,15.88,48,2025-04-16,Active,False
LOAN000105,CUST00193,Business Loan,3066466.23,10.26,24,2022-12-10,Active,False
LOAN000106,CUST00116,Education Loan,784359.52,17.19,60,2025-04-16,Active,False
LOAN000107,CUST00058,Car Loan,1978403.57,15.83,180,2021-09-18,Closed,False
LOAN000108,CUST00081,Business Loan,3183695.61,15.9,84,2020-11-05,Active,False
LOAN000109,CUST00188,Car Loan,3043616.57,13.67,24,2021-01-17,Defaulted,False
LOAN000110,CUST00210,Business Loan,349786.61,15.99,120,2021-07-17,Active,False
LOAN000111,CUST00095,Personal Loan,4270869.99,12.47,120,2025-04-20,Active,False
LOAN000112,CUST00071,Education Loan,2351450.43,13.63,84,2023-03-11,Active,False
LOAN000113,CUST00014,Personal Loan,2306919.02,8.04,12,2021-07-16,Active,False
LOAN000114,CUST00112,Personal Loan,4345301.61,11.0,12,2025-01-07,Active,False
LOAN000115,CUST00015,Home Loan,3249325.17,10.39,12,2024-03-14,Closed,False
LOAN000116,CUST00061,Home Loan,3627744.52,7.73,36,2021-11-15,Active,False
LOAN000117,CUST00140,Home Loan,504704.06,15.51,180,2020-09-04,Active,False
LOAN000118,CUST00041,Car Loan,357644.74,7.57,48,2022-07-29,Active,False
LOAN000119,CUST00014,Car Loan,620483.28,12.47,240,2020-11-14,Active,False
LOAN000120,CUST00129,Home Loan,3232367.67,9.29,36,2022-08-06,Closed,False
LOAN000121,CUST00007,Education Loan,1631322.13,12.47,60,2024-04-20,Active,False
LOAN000122,CUST00126,Home Loan,3364728.27,6.93,48,2023-12-12,Closed,False
LOAN000123,CUST00039,Personal Loan,85404.25,16.45,120,2021-12-02,Closed,False
LOAN000124,CUST00214,Personal Loan,2704338.42,10.99,120,2023-09-03,Closed,False
LOAN000125,CUST00008,Personal Loan,1047850.29,11.21,60,2023-02-09,Active,False
LOAN000126,CUST00191,Education Loan,2255440.04,7.85,120,2022-08-03,Active,False
LOAN000127,CUST00119,Personal Loan,4668763.53,14.59,60,2023-12-10,Defaulted,False
LOAN000128,CUST00213,Personal Loan,319119.39,6.79,12,2021-08-16,Closed,False
LOAN000129,CUST00193,Education Loan,945549.78,11.99,120,2024-11-07,Closed,False
LOAN000130,CUST00158,Personal Loan,868023.58,14.5,48,2022-02-09,Active,False
LOAN000131,CUST00098,Home Loan,10839981.9525,17.66,60,2021-08-09,Active,True
LOAN000132,CUST00096,Personal Loan,3657303.73,8.79,120,2022-07-30,Active,False
LOAN000133,CUST00205,Home Loan,426692.54,10.12,60,2021-07-14,Active,False
LOAN000134,CUST00029,Home Loan,4577102.02,17.68,36,2023-01-24,Active,False
LOAN000135,CUST00188,Business Loan,476171.59,6.77,180,2023-09-16,Active,False
LOAN000136,CUST00213,Education Loan,3474417.52,12.47,180,2021-04-26,Active,False
LOAN000137,CUST00073,Home Loan,2355222.84,18.01,60,2023-07-04,Active,False
LOAN000138,CUST00167,Personal Loan,3608410.64,8.76,180,2021-09-03,Active,False
LOAN000139,CUST00218,Business Loan,268409.37,12.36,48,2023-09-26,Active,False
LOAN000140,CUST00169,Personal Loan,3725503.53,12.17,36,2021-05-22,Defaulted,False
LOAN000141,CUST00103,Personal Loan,4514013.42,10.66,36,2021-01-13,Closed,False
LOAN000142,CUST00139,Car Loan,1891944.08,15.52,180,2021-12-14,Active,False
LOAN000143,CUST00120,Personal Loan,2068737.6,10.49,84,2022-03-08,Active,False
LOAN000144,CUST00088,Home Loan,2281305.29,17.52,36,2024-04-24,Closed,False
LOAN000145,CUST00211,Car Loan,2724044.66,16.01,120,2025-03-07,Active,False
LOAN000146,CUST00171,Home Loan,2123931.53,13.41,60,2023-07-08,Closed,False
LOAN000147,CUST00102,Personal Loan,4714334.81,10.41,84,2022-03-18,Closed,False
LOAN000148,CUST00164,Personal Loan,2639449.08,14.75,24,2024-04-14,Closed,False
LOAN000149,CUST00127,Car Loan,3237316.23,17.22,240,2021-12-11,Active,False
LOAN000150,CUST00164,Car Loan,764559.97,10.13,48,2023-03-26,Closed,False
LOAN000151,CUST00065,Home Loan,528106.77,8.99,24,2023-02-09,Active,False
LOAN000152,CUST00100,Education Loan,2290366.84,12.47,60,2023-08-19,Defaulted,False
LOAN000153,CUST00128,Business Loan,1905833.89,13.62,180,2021-07-20,Active,False
LOAN000154,CUST00151,Education Loan,10839981.9525,15.74,120,2022-12-22,Active,True
LOAN000155,CUST00122,Business Loan,3120147.04,11.06,180,2024-11-30,Active,False
LOAN000156,CUST00121,Home Loan,1298174.09,15.49,48,2023-10-22,Closed,False
LOAN000157,CUST00033,Education Loan,219993.64,11.43,12,2022-12-04,Active,False
LOAN000158,CUST00179,Business Loan,2987473.87,12.52,180,2021-04-26,Defaulted,False
LOAN000159,CUST00045,Home Loan,2846997.29,7.91,240,2020-09-07,Active,False
LOAN000160,CUST00051,Personal Loan,4516195.64,11.62,36,2021-12-06,Active,False
LOAN000161,CUST00088,Car Loan,2436623.65,7.03,36,2021-11-30,Closed,False
LOAN000162,CUST00043,Education Loan,4334549.66,17.88,24,2023-05-24,Active,False
LOAN000163,CUST00182,Home Loan,739066.27,10.9,120,2021-12-04,Active,False
LOAN000164,CUST00180,Home Loan,2649617.34,6.9,120,2023-12-28,Closed,False
LOAN000165,CUST00031,Personal Loan,2140163.41,12.59,48,2024-06-19,Closed,False
LOAN000166,CUST00068,Car Loan,169340.91,18.46,84,2024-09-26,Closed,False
LOAN000167,CUST00077,Education Loan,2415504.72,6.98,48,2021-03-29,Closed,False
LOAN000168,CUST00069,Home Loan,709413.37,6.65,240,2021-08-18,Active,False
LOAN000169,CUST00122,Car Loan,10839981.9525,16.11,48,2025-08-01,Active,True
LOAN000170,CUST00171,Business Loan,2417463.41,13.0,24,2024-04-21,Closed,False
LOAN000171,CUST00043,Home Loan,678430.13,18.38,24,2023-01-14,Closed,False
LOAN000172,CUST00193,Personal Loan,1272985.72,16.44,120,2021-11-24,Active,False
LOAN000173,CUST00116,Home Loan,2187761.62,15.22,84,2021-06-09,Active,False
LOAN000174,CUST00166,Car Loan,3051860.74,17.89,240,2023-06-01,Active,False
LOAN000175,CUST00008,Business Loan,4365762.41,15.78,120,2021-10-02,Closed,False
LOAN000176,CUST00072,Car Loan,2115716.36,6.98,60,2022-03-20,Active,False
LOAN000177,CUST00131,Personal Loan,2349310.11,13.76,60,2023-12-11,Active,False
LOAN000178,CUST00087,Business Loan,2464548.18,13.76,36,2023-09-01,Active,False
LOAN000179,CUST00074,Business Loan,500389.09,7.26,60,2023-05-21,Defaulted,False
LOAN000180,CUST00050,Personal Loan,2992447.4,13.29,84,2024-11-14,Defaulted,False
