transaction_id,account_id,transaction_type,amount,transaction_date,description,channel,amount_outlier
TXN0000340,ACC000113,Withdrawal,26857.01,2023-06-01,Iste ducimus magni iure.,Atm,False
TXN0000038,ACC000249,Withdrawal,25227.94,2024-01-17,Iusto explicabo non.,Branch,False
TXN0000454,ACC000189,Withdrawal,27522.29,2024-09-22,,Online,False
TXN0000338,ACC000166,Deposit,40751.02,2023-10-13,Illum quis commodi fuga.,Mobile,False
TXN0000271,ACC000245,Withdrawal,1813.76,2024-12-06,Numquam dolores quasi veritatis.,Branch,False
TXN0000243,ACC000230,Withdrawal,36111.52,2023-09-12,,Branch,False
TXN0000061,ACC000084,Withdrawal,25956.72,2023-12-15,Omnis veritatis.,Atm,False
TXN0000346,ACC000133,Deposit,108765.785,2024-04-10,Eveniet quibusdam laborum.,Atm,True
TXN0000533,ACC000068,Deposit,41881.69,2023-07-15,Perspiciatis ut consequatur libero.,Online,False
TXN0000534,ACC000091,Deposit,28295.49,2023-10-07,,Branch,False
TXN0000405,ACC000217,Deposit,43406.15,2023-07-12,Non velit corporis.,Atm,False
TXN0000352,ACC000196,Transfer,44835.91,2023-06-03,Perspiciatis corrupti.,Online,False
TXN0000308,ACC000011,Deposit,46185.71,2023-04-23,Voluptatibus veritatis sint dolorem quam.,Online,False
TXN0000394,ACC000141,Transfer,15957.39,2024-05-20,Fugit esse eligendi.,Atm,False
TXN0000558,ACC000222,Withdrawal,9278.12,2023-03-23,Magnam unde sapiente harum.,Atm,False
TXN0000281,ACC000167,Withdrawal,24261.15,2024-08-08,Velit voluptate voluptatum.,Mobile,False
TXN0000125,ACC000217,Withdrawal,22327.58,2024-09-06,Quas provident quis.,Atm,False
TXN0000426,ACC000227,Withdrawal,9250.27,2023-04-09,Fugiat maxime.,Branch,False
TXN0000363,ACC000110,Deposit,38732.86,2023-06-01,Vel blanditiis distinctio explicabo.,Mobile,False
TXN0000313,ACC000057,Deposit,16875.27,2024-10-21,Esse qui libero.,Online,False
TXN0000280,ACC000246,Deposit,33472.73,2024-08-09,Esse dolores repellat.,Mobile,False
TXN0000540,ACC000248,Transfer,36574.65,2024-01-18,Voluptas excepturi perspiciatis rerum.,Atm,False
TXN0000010,ACC000047,Withdrawal,26811.67,2023-11-07,,Mobile,False
TXN0000117,ACC000183,Transfer,13085.18,2024-05-21,Blanditiis dolore ducimus.,Online,False
TXN0000146,ACC000137,Withdrawal,12341.27,2024-06-01,Quidem cum adipisci recusandae.,Online,False
TXN0000592,ACC000258,Deposit,15051.9,2023-10-09,Aliquid necessitatibus recusandae.,Online,False
TXN0000307,ACC000066,Withdrawal,49148.14,2024-05-22,Veniam reprehenderit quidem accusamus.,Online,False
TXN0000060,ACC000186,Withdrawal,41358.42,2024-12-02,Iste veritatis nisi ab.,Online,False
TXN0000121,ACC000232,Withdrawal,31455.0,2023-12-04,Reiciendis vitae quidem voluptate.,Atm,False
TXN0000523,ACC000188,Transfer,34299.84,2023-12-23,Quae omnis consequuntur necessitatibus eaque.,Atm,False
TXN0000585,ACC000104,Withdrawal,42014.86,2024-06-20,,Branch,False
TXN0000171,ACC000238,Transfer,25480.2,2023-06-01,Quis pariatur corrupti quas.,Atm,False
TXN0000436,ACC000182,Deposit,108765.785,2024-03-31,Perspiciatis doloremque laborum qui.,Online,True
TXN0000249,ACC000186,Deposit,46333.29,2023-02-05,Et sed aperiam consectetur.,Mobile,False
TXN0000003,ACC000063,Withdrawal,31007.92,2023-08-11,Temporibus placeat modi dolores.,Online,False
TXN0000489,ACC000060,Withdrawal,22275.81,2023-05-21,Voluptatum praesentium error commodi.,Atm,False
TXN0000149,ACC000030,Deposit,21760.21,2024-10-18,Explicabo aliquid officiis commodi.,Branch,False
TXN0000197,ACC000215,Withdrawal,34651.45,2023-12-10,Mollitia nesciunt aut.,Atm,False
TXN0000053,ACC000269,Withdrawal,7064.43,2023-08-01,Sit debitis cumque.,Atm,False
TXN0000298,ACC000008,Withdrawal,25799.07,2024-12-15,Inventore facilis libero earum.,Online,False
TXN0000401,ACC000268,Withdrawal,44401.14,2024-04-02,Cum quis vero quo quibusdam.,Branch,False
TXN0000164,ACC000203,Withdrawal,16328.29,2024-02-24,Sequi beatae fuga enim minima.,Online,False
TXN0000501,ACC000170,Transfer,19836.76,2023-06-15,Minima voluptates explicabo modi.,Atm,False
TXN0000441,ACC000090,Transfer,16250.6,2023-08-31,,Atm,False
TXN0000019,ACC000004,Deposit,30660.83,2024-05-13,Iste sit consequatur cupiditate.,Branch,False
TXN0000389,ACC000140,Withdrawal,39725.57,2024-04-01,Aspernatur voluptate id cumque.,Atm,False
TXN0000474,ACC000115,Transfer,19116.37,2023-03-21,Perspiciatis voluptates.,Atm,False
TXN0000230,ACC000003,Deposit,33036.02,2024-03-30,Voluptatibus possimus.,Branch,False
TXN0000528,ACC000100,Deposit,31910.16,2024-07-11,Esse similique veniam.,Online,False
TXN0000202,ACC000270,Transfer,15323.11,2024-11-07,A ut laboriosam.,Online,False
TXN0000325,ACC000006,Withdrawal,36131.77,2023-11-29,Similique illum culpa beatae.,Atm,False
TXN0000042,ACC000176,Withdrawal,43602.51,2024-10-22,Ea magnam ut.,Atm,False
TXN0000124,ACC000068,Withdrawal,7791.32,2023-11-14,Occaecati sit tenetur.,Mobile,False
TXN0000483,ACC000144,Withdrawal,32505.3,2024-06-04,,Atm,False
TXN0000036,ACC000188,Withdrawal,18263.13,2024-04-21,,Online,False
TXN0000479,ACC000241,Withdrawal,108765.785,2024-07-21,Nihil voluptas occaecati illo.,Online,True
TXN0000386,ACC000187,Withdrawal,30344.93,2023-06-01,Dolores aspernatur quam.,Atm,False
TXN0000289,ACC000084,Transfer,32314.0,2024-10-25,Aperiam magni quibusdam officia magni.,Mobile,False
TXN0000153,ACC000259,Withdrawal,44526.93,2023-11-08,Perferendis quaerat maxime dolorum eveniet.,Atm,False
TXN0000190,ACC000227,Deposit,18932.02,2023-05-11,,Online,False
TXN0000314,ACC000165,Withdrawal,16060.06,2023-02-23,Excepturi in placeat illo.,Mobile,False
TXN0000407,ACC000204,Transfer,13352.38,2024-03-17,Blanditiis at.,Atm,False
TXN0000143,ACC000057,Withdrawal,35349.61,2024-04-13,Quod sunt assumenda modi.,Atm,False
TXN0000256,ACC000142,Withdrawal,5548.85,2023-03-29,Temporibus commodi magni.,Online,False
TXN0000402,ACC000181,Withdrawal,38654.93,2023-10-31,Magni laborum porro possimus.,Atm,False
TXN0000397,ACC000233,Transfer,38753.21,2023-11-02,Laudantium unde velit voluptas.,Branch,False
TXN0000077,ACC000255,Transfer,37605.33,2023-07-26,Delectus occaecati at maiores voluptate.,Atm,False
TXN0000035,ACC000042,Withdrawal,37669.11,2024-08-12,Porro quae provident quasi.,Online,False
TXN0000287,ACC000217,Withdrawal,30147.0,2023-05-12,Sed voluptas suscipit.,Online,False
TXN0000510,ACC000251,Transfer,34480.98,2023-10-02,Non in corrupti voluptatibus inventore.,Online,False
TXN0000288,ACC000074,Withdrawal,20062.96,2024-03-11,Quas quos ratione.,Online,False
TXN0000399,ACC000133,Deposit,40825.77,2024-12-05,,Branch,False
TXN0000100,ACC000121,Deposit,45498.48,2023-09-19,Iusto similique nesciunt dicta.,Online,False
TXN0000527,ACC000091,Deposit,108765.785,2023-06-06,Eius incidunt velit.,Mobile,True
TXN0000586,ACC000029,Transfer,25420.08,2024-07-04,Aliquam deleniti mollitia.,Online,False
TXN0000355,ACC000255,Withdrawal,10520.15,2023-06-06,Hic est.,Atm,False
TXN0000109,ACC000145,Withdrawal,24758.99,2024-09-06,Quam hic impedit.,Branch,False
TXN0000377,ACC000220,Deposit,27831.41,2024-02-07,Qui eveniet eius officia.,Mobile,False
TXN0000491,ACC000019,Deposit,39730.45,2024-11-07,Hic repellendus.,Online,False
TXN0000458,ACC000258,Withdrawal,43461.65,2023-11-23,Ab sequi et repellendus.,Atm,False
TXN0000493,ACC000020,Transfer,108765.785,2023-08-02,Quidem dignissimos omnis.,Online,True
TXN0000551,ACC000060,Transfer,20145.0,2023-09-22,Cum explicabo inventore facere.,Atm,False
TXN0000434,ACC000246,Deposit,32907.52,2024-07-13,Maiores optio a odit.,Branch,False
TXN0000295,ACC000142,Transfer,22943.55,2024-04-24,Ducimus assumenda quibusdam eos.,Online,False
TXN0000456,ACC000067,Transfer,14201.54,2023-09-08,,Branch,False
TXN0000286,ACC000122,Deposit,30347.99,2024-11-09,Eos corrupti doloribus occaecati eius.,Online,False
TXN0000278,ACC000089,Transfer,12325.55,2023-11-06,Doloribus deserunt debitis ea aut.,Atm,False
TXN0000498,ACC000024,Deposit,19994.11,2023-08-13,Facilis molestias in.,Atm,False
TXN0000522,ACC000143,Deposit,15916.9,2023-08-08,Nisi sed labore consectetur ab.,Branch,False
TXN0000268,ACC000066,Withdrawal,17077.87,2023-04-29,,Atm,False
TXN0000318,ACC000215,Deposit,49483.27,2023-02-14,Labore eveniet vitae.,Atm,False
TXN0000515,ACC000243,Deposit,36034.5,2024-06-20,Fugiat voluptas.,Atm,False
TXN0000178,ACC000251,Transfer,23878.79,2024-02-28,Quidem vero maxime quibusdam magnam.,Atm,False
TXN0000254,ACC000069,Withdrawal,20900.43,2023-06-30,Officiis perferendis ad maxime.,Atm,False
TXN0000509,ACC000130,Transfer,26217.94,2023-03-02,Quaerat natus officia.,Branch,False
TXN0000104,ACC000211,Withdrawal,4203.38,2024-10-26,Doloremque aperiam accusantium nemo.,Online,False
TXN0000302,ACC000019,Transfer,10951.41,2024-10-20,,Atm,False
TXN0000488,ACC000233,Deposit,47096.12,2024-06-17,Recusandae debitis.,Atm,False
TXN0000013,ACC000009,Deposit,39657.68,2024-04-05,Iste ad amet odit.,Mobile,False
TXN0000258,ACC000220,Withdrawal,49346.15,2024-04-29,Aperiam est.,Online,False
TXN0000373,ACC000052,Transfer,919.68,2024-09-30,Doloremque nulla.,Mobile,False
TXN0000039,ACC000034,Withdrawal,22653.72,2024-12-10,,Online,False
TXN0000422,ACC000180,Deposit,354.0,2023-02-21,Eius exercitationem nesciunt.,Atm,False
TXN0000433,ACC000064,Transfer,42101.87,2023-06-01,Eius praesentium repellendus fuga nulla.,Online,False
TXN0000446,ACC000193,Withdrawal,44997.81,2024-03-25,Pariatur ullam odio.,Atm,False
TXN0000440,ACC000082,Withdrawal,29266.21,2023-01-31,Quos quaerat adipisci libero assumenda.,Mobile,False
TXN0000478,ACC000216,Deposit,30316.73,2023-05-01,Veniam blanditiis maiores.,Online,False
TXN0000051,ACC000191,Deposit,45431.5,2024-03-13,Aliquam explicabo quae laborum.,Atm,False
TXN0000451,ACC000042,Transfer,35184.23,2023-03-14,,Atm,False
TXN0000382,ACC000063,Withdrawal,1254.73,2023-04-24,Maxime delectus occaecati aperiam.,Atm,False
TXN0000464,ACC000122,Deposit,35989.09,2024-01-26,Praesentium amet sint.,Branch,False
TXN0000439,ACC000270,Deposit,30331.51,2024-06-03,Non quae sit.,Branch,False
TXN0000037,ACC000245,Withdrawal,38701.42,2024-07-06,Asperiores nam amet.,Branch,False
TXN0000263,ACC000255,Withdrawal,43505.95,2024-05-31,In deserunt.,Mobile,False
TXN0000305,ACC000083,Deposit,26867.73,2024-11-03,Deleniti nobis consequuntur.,Online,False
TXN0000227,ACC000125,Transfer,33547.75,2023-03-26,Optio natus placeat.,Online,False
TXN0000210,ACC000171,Withdrawal,46337.64,2023-02-09,Officia a labore.,Online,False
TXN0000326,ACC000196,Deposit,26915.7,2024-08-20,In quia harum temporibus dignissimos.,Mobile,False
TXN0000452,ACC000117,Deposit,24880.18,2023-06-01,Quia blanditiis facilis.,Online,False
TXN0000130,ACC000041,Deposit,31228.14,2023-07-11,Doloribus repellat.,Atm,False
TXN0000222,ACC000153,Transfer,2050.33,2024-04-12,Doloremque laudantium facilis.,Online,False
TXN0000547,ACC000257,Deposit,11162.53,2024-01-13,Deserunt minus tempore illum.,Online,False
TXN0000142,ACC000137,Deposit,24369.63,2023-02-17,Numquam nulla ipsam exercitationem repellat.,Atm,False
TXN0000505,ACC000235,Withdrawal,42979.22,2023-01-24,Eius quas in mollitia.,Mobile,False
TXN0000312,ACC000195,Transfer,46462.01,2023-04-04,Ipsum nam fugiat neque.,Online,False
TXN0000079,ACC000085,Transfer,1739.7,2023-11-07,Occaecati minima enim ipsa tenetur.,Atm,False
TXN0000390,ACC000018,Deposit,17710.48,2024-04-05,In non inventore culpa.,Online,False
TXN0000224,ACC000112,Transfer,13761.44,2023-03-10,Deserunt reprehenderit.,Branch,False
TXN0000500,ACC000266,Withdrawal,16731.08,2023-03-06,Temporibus eos modi consequuntur laudantium.,Atm,False
TXN0000076,ACC000168,Deposit,41532.59,2023-07-03,Quidem repellat.,Online,False
TXN0000183,ACC000066,Deposit,34150.94,2023-05-12,Similique et.,Online,False
TXN0000419,ACC000267,Withdrawal,29498.48,2023-07-15,Ea temporibus illum.,Atm,False
TXN0000031,ACC000259,Deposit,44922.76,2024-04-26,Voluptate doloremque iste.,Online,False
TXN0000029,ACC000268,Transfer,45288.35,2023-08-24,Nobis voluptatum eligendi.,Mobile,False
TXN0000345,ACC000147,Withdrawal,23562.21,2024-10-22,,Online,False
TXN0000495,ACC000148,Transfer,17920.68,2023-04-26,Ipsum et aliquam nemo officiis.,Atm,False
TXN0000059,ACC000094,Withdrawal,2530.87,2023-03-20,Ut autem eum adipisci itaque.,Branch,False
TXN0000294,ACC000028,Withdrawal,35689.81,2024-08-04,Esse suscipit necessitatibus.,Online,False
TXN0000369,ACC000111,Withdrawal,48953.7,2023-06-20,Cupiditate vero nobis voluptatem possimus.,Atm,False
TXN0000219,ACC000057,Deposit,651.25,2024-02-05,,Online,False
TXN0000539,ACC000012,Transfer,9436.86,2024-07-13,In fugiat.,Mobile,False
TXN0000577,ACC000058,Deposit,21486.57,2023-09-26,Atque accusamus.,Online,False
TXN0000344,ACC000094,Transfer,7149.75,2024-03-02,Dolorum quae.,Branch,False
TXN0000176,ACC000163,Withdrawal,36281.18,2023-08-04,Occaecati quo est officia officia.,Branch,False
TXN0000600,ACC000024,Transfer,12232.58,2024-08-30,Velit eius consequatur.,Branch,False
TXN0000444,ACC000003,Withdrawal,108765.785,2023-02-04,Voluptatibus adipisci ut eveniet.,Branch,True
TXN0000250,ACC000083,Deposit,47218.83,2024-08-15,Amet nostrum inventore aut.,Mobile,False
TXN0000175,ACC000274,Withdrawal,42137.69,2023-10-16,Quasi officia sint provident.,Online,False
TXN0000447,ACC000149,Deposit,5984.58,2023-12-05,At porro sit ut.,Online,False
TXN0000096,ACC000112,Deposit,16531.37,2023-08-30,Distinctio officiis.,Mobile,False
TXN0000270,ACC000256,Transfer,558.51,2023-10-31,Ullam odit possimus.,Online,False
TXN0000173,ACC000276,Transfer,10252.5,2023-06-22,,Mobile,False
TXN0000590,ACC000058,Transfer,10828.2,2024-08-18,Laboriosam minima.,Atm,False
TXN0000135,ACC000222,Transfer,28514.58,2023-01-09,Corporis ab rem velit.,Atm,False
TXN0000233,ACC000055,Withdrawal,10435.25,2023-06-01,Earum perspiciatis iure facere.,Atm,False
TXN0000232,ACC000263,Withdrawal,39866.52,2023-06-21,Sequi eum.,Atm,False
TXN0000208,ACC000219,Transfer,25989.15,2024-06-08,Odio voluptatem provident earum.,Branch,False
TXN0000097,ACC000058,Withdrawal,12789.87,2024-01-19,Ipsa numquam ratione.,Branch,False
TXN0000177,ACC000169,Deposit,12371.82,2024-04-15,Deserunt nulla.,Atm,False
TXN0000248,ACC000179,Transfer,46613.26,2023-09-19,,Mobile,False
TXN0000247,ACC000158,Withdrawal,20287.31,2024-01-18,Voluptate totam.,Mobile,False
TXN0000006,ACC000103,Transfer,12986.11,2023-03-13,Distinctio tempora totam.,Mobile,False
TXN0000333,ACC000219,Transfer,25625.97,2023-08-18,Expedita sapiente recusandae hic.,Online,False
TXN0000594,ACC000119,Withdrawal,17187.34,2023-07-18,Qui id placeat.,Mobile,False
TXN0000083,ACC000087,Deposit,15673.77,2023-11-09,Incidunt atque optio necessitatibus ducimus.,Mobile,False
TXN0000122,ACC000029,Withdrawal,6553.08,2023-10-17,,Branch,False
TXN0000543,ACC000089,Deposit,22989.8,2023-06-01,Ullam ut vero.,Mobile,False
TXN0000320,ACC000032,Withdrawal,8430.06,2023-10-24,Repudiandae nobis.,Atm,False
TXN0000354,ACC000185,Transfer,32604.61,2023-05-15,Possimus saepe repellat odit.,Online,False
TXN0000094,ACC000047,Transfer,15763.85,2024-02-21,Rem assumenda consequatur deleniti.,Atm,False
TXN0000507,ACC000204,Withdrawal,38158.75,2024-08-14,Velit perspiciatis.,Branch,False
TXN0000025,ACC000167,Withdrawal,44764.45,2023-11-30,,Online,False
TXN0000198,ACC000110,Withdrawal,24846.94,2024-12-10,Officiis commodi necessitatibus ipsum sed.,Online,False
TXN0000365,ACC000220,Withdrawal,33515.26,2023-04-05,Itaque architecto repellendus.,Mobile,False
TXN0000475,ACC000151,Withdrawal,30394.39,2023-11-21,Fugiat voluptatem perspiciatis.,Online,False
TXN0000217,ACC000048,Deposit,23791.4,2024-10-16,,Online,False
TXN0000512,ACC000218,Transfer,6161.74,2023-04-27,Commodi beatae molestias.,Online,False
TXN0000137,ACC000178,Transfer,27707.46,2023-06-01,Ipsa hic alias.,Online,False
TXN0000296,ACC000047,Withdrawal,15328.85,2024-02-21,,Atm,False
TXN0000467,ACC000041,Deposit,24062.37,2023-03-01,Voluptatibus molestias excepturi.,Mobile,False
TXN0000484,ACC000197,Withdrawal,44875.35,2024-03-12,,Online,False
TXN0000476,ACC000210,Withdrawal,22845.48,2023-09-04,,Branch,False
TXN0000237,ACC000120,Deposit,25600.2,2024-12-22,Voluptatem incidunt asperiores.,Online,False
TXN0000169,ACC000031,Withdrawal,9215.18,2024-02-22,Nemo natus tempore quos.,Atm,False
TXN0000537,ACC000060,Deposit,4628.8,2024-04-23,Placeat aliquam ipsum cumque ut.,Atm,False
TXN0000568,ACC000275,Transfer,5371.37,2024-10-13,Deleniti sequi occaecati.,Branch,False
TXN0000129,ACC000214,Deposit,37051.76,2024-02-07,Commodi dicta voluptas.,Mobile,False
TXN0000372,ACC000146,Withdrawal,21850.22,2024-11-27,Ipsum maiores quia magnam provident.,Online,False
TXN0000413,ACC000001,Transfer,8619.18,2023-12-27,,Atm,False
TXN0000054,ACC000071,Withdrawal,430.28,2023-06-29,Reprehenderit natus optio distinctio voluptatum.,Atm,False
TXN0000145,ACC000071,Withdrawal,24969.71,2024-01-08,Distinctio maiores est.,Atm,False
